Ano Censo;Categoria Administrativa;Sub Categoria Administrativa;Id Categoria Administrativa;Número de Matrículas;Número de Concluintes;Grau Acadêmico;Modalidade Ensino;Organização Acadêmica
2014;PÚBLICA;FEDERAL;1;20828;1943;BACHARELADO;CURSO A DISTÂNCIA;UNIVERSIDADES
2014;PÚBLICA;FEDERAL;1;367;25;BACHARELADO;CURSO A DISTÂNCIA;IFs e CEFETs
2014;PÚBLICA;FEDERAL;1;226694;27848;LICENCIATURA;PRESENCIAL;UNIVERSIDADES
2014;PÚBLICA;FEDERAL;1;225;28;LICENCIATURA;PRESENCIAL;FACULDADES
2014;PÚBLICA;FEDERAL;1;37972;4156;LICENCIATURA;PRESENCIAL;IFs e CEFETs
2014;PÚBLICA;FEDERAL;1;64359;5319;LICENCIATURA;CURSO A DISTÂNCIA;UNIVERSIDADES
2014;PÚBLICA;FEDERAL;1;5438;408;LICENCIATURA;CURSO A DISTÂNCIA;IFs e CEFETs
2014;PÚBLICA;FEDERAL;1;13913;2186;TECNOLÓGICO;PRESENCIAL;UNIVERSIDADES
2014;PÚBLICA;FEDERAL;1;43715;4258;TECNOLÓGICO;PRESENCIAL;IFs e CEFETs
2014;PÚBLICA;FEDERAL;1;2621;43;TECNOLÓGICO;CURSO A DISTÂNCIA;UNIVERSIDADES
2014;PÚBLICA;FEDERAL;1;2869;358;TECNOLÓGICO;CURSO A DISTÂNCIA;IFs e CEFETs
2014;PÚBLICA;ESTADUAL;2;4838;69;-;PRESENCIAL;UNIVERSIDADES
2014;PÚBLICA;ESTADUAL;2;1;0;-;PRESENCIAL;FACULDADES
2014;PÚBLICA;ESTADUAL;2;283811;37834;BACHARELADO;PRESENCIAL;UNIVERSIDADES
2014;PÚBLICA;ESTADUAL;2;858;58;BACHARELADO;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2014;PÚBLICA;ESTADUAL;2;2487;447;BACHARELADO;PRESENCIAL;FACULDADES
2014;PÚBLICA;ESTADUAL;2;10642;1870;BACHARELADO;CURSO A DISTÂNCIA;UNIVERSIDADES
2014;PÚBLICA;ESTADUAL;2;207841;33624;LICENCIATURA;PRESENCIAL;UNIVERSIDADES
2014;PÚBLICA;ESTADUAL;2;3744;996;LICENCIATURA;PRESENCIAL;FACULDADES
2014;PÚBLICA;ESTADUAL;2;28482;5656;LICENCIATURA;CURSO A DISTÂNCIA;UNIVERSIDADES
2014;PÚBLICA;ESTADUAL;2;10667;2225;TECNOLÓGICO;PRESENCIAL;UNIVERSIDADES
2014;PÚBLICA;ESTADUAL;2;935;122;TECNOLÓGICO;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2014;PÚBLICA;ESTADUAL;2;61738;6770;TECNOLÓGICO;PRESENCIAL;FACULDADES
2014;PÚBLICA;ESTADUAL;2;57;0;TECNOLÓGICO;CURSO A DISTÂNCIA;UNIVERSIDADES
2014;PÚBLICA;MUNICIPAL;3;60;0;-;PRESENCIAL;UNIVERSIDADES
2014;PÚBLICA;MUNICIPAL;3;139;29;-;PRESENCIAL;FACULDADES
2014;PÚBLICA;MUNICIPAL;3;70568;9118;BACHARELADO;PRESENCIAL;UNIVERSIDADES
2014;PÚBLICA;MUNICIPAL;3;21662;2796;BACHARELADO;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2014;PÚBLICA;MUNICIPAL;3;36602;5273;BACHARELADO;PRESENCIAL;FACULDADES
2014;PÚBLICA;MUNICIPAL;3;587;0;BACHARELADO;CURSO A DISTÂNCIA;UNIVERSIDADES
2014;PÚBLICA;MUNICIPAL;3;8768;1757;LICENCIATURA;PRESENCIAL;UNIVERSIDADES
2014;PÚBLICA;MUNICIPAL;3;3116;466;LICENCIATURA;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2014;PÚBLICA;MUNICIPAL;3;15987;3082;LICENCIATURA;PRESENCIAL;FACULDADES
2014;PÚBLICA;MUNICIPAL;3;1997;180;LICENCIATURA;CURSO A DISTÂNCIA;UNIVERSIDADES
2014;PÚBLICA;MUNICIPAL;3;3083;734;TECNOLÓGICO;PRESENCIAL;UNIVERSIDADES
2014;PÚBLICA;MUNICIPAL;3;523;158;TECNOLÓGICO;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2014;PÚBLICA;MUNICIPAL;3;1042;266;TECNOLÓGICO;PRESENCIAL;FACULDADES
2014;PÚBLICA;MUNICIPAL;3;1126;249;TECNOLÓGICO;CURSO A DISTÂNCIA;UNIVERSIDADES
